tweet_id,favorite_count,retweet_count,user_id,user_screen_name
892420643555336193,105,42,4196983835,dog_rates
892177421306343426,105,42,4196983835,dog_rates
891815181378084864,105,42,4196983835,dog_rates
891689557279858688,105,42,4196983835,dog_rates
891327558926688256,105,42,4196983835,dog_rates
891087950875897856,105,42,4196983835,dog_rates
890971913173991426,105,42,4196983835,dog_rates
890729181411237888,105,42,4196983835,dog_rates
890609185150312448,105,42,4196983835,dog_rates
890240255349198849,105,42,4196983835,dog_rates
890006608113172480,105,42,4196983835,dog_rates
889880896479866881,105,42,4196983835,dog_rates
889665388333682689,105,42,4196983835,dog_rates
889638837579907072,105,42,4196983835,dog_rates
889531135344209921,105,42,4196983835,dog_rates
889278841981685760,105,42,4196983835,dog_rates
888917238123831296,105,42,4196983835,dog_rates
888804989199671297,105,42,4196983835,dog_rates
888554962724278272,105,42,4196983835,dog_rates
888202515573088257,105,42,4196983835,dog_rates
888078434458587136,105,42,4196983835,dog_rates
887705289381826560,105,42,4196983835,dog_rates
887517139158093824,105,42,4196983835,dog_rates
887473957103951883,105,42,4196983835,dog_rates
887343217045368832,105,42,4196983835,dog_rates
887101392804085760,105,42,4196983835,dog_rates
886983233522544640,105,42,4196983835,dog_rates
886736880519319552,105,42,4196983835,dog_rates
886680336477933568,105,42,4196983835,dog_rates
886366144734445568,105,42,4196983835,dog_rates
886267009285017600,105,42,4196983835,dog_rates
886258384151887873,105,42,4196983835,dog_rates
886054160059072513,105,42,4196983835,dog_rates
885984800019947520,105,42,4196983835,dog_rates
885528943205470208,105,42,4196983835,dog_rates
885518971528720385,105,42,4196983835,dog_rates
885311592912609280,105,42,4196983835,dog_rates
885167619883638784,105,42,4196983835,dog_rates
884925521741709313,105,42,4196983835,dog_rates
884876753390489601,105,42,4196983835,dog_rates
884562892145688576,105,42,4196983835,dog_rates
884441805382717440,105,42,4196983835,dog_rates
884247878851493888,105,42,4196983835,dog_rates
884162670584377345,105,42,4196983835,dog_rates
883838122936631299,105,42,4196983835,dog_rates
883482846933004288,105,42,4196983835,dog_rates
883360690899218434,105,42,4196983835,dog_rates
883117836046086144,105,42,4196983835,dog_rates
882992080364220416,105,42,4196983835,dog_rates
882762694511734784,105,42,4196983835,dog_rates
882627270321602560,105,42,4196983835,dog_rates
882268110199369728,105,42,4196983835,dog_rates
882045870035918850,105,42,4196983835,dog_rates
881906580714921986,105,42,4196983835,dog_rates
881666595344535552,105,42,4196983835,dog_rates
881633300179243008,105,42,4196983835,dog_rates
881536004380872706,105,42,4196983835,dog_rates
881268444196462592,105,42,4196983835,dog_rates
880935762899988482,105,42,4196983835,dog_rates
880872448815771648,105,42,4196983835,dog_rates
880465832366813184,105,42,4196983835,dog_rates
880221127280381952,105,42,4196983835,dog_rates
880095782870896641,105,42,4196983835,dog_rates
879862464715927552,105,42,4196983835,dog_rates
879674319642796034,105,42,4196983835,dog_rates
879492040517615616,105,42,4196983835,dog_rates
879415818425184262,105,42,4196983835,dog_rates
879376492567855104,105,42,4196983835,dog_rates
879130579576475649,105,42,4196983835,dog_rates
879050749262655488,105,42,4196983835,dog_rates
879008229531029506,105,42,4196983835,dog_rates
878776093423087618,105,42,4196983835,dog_rates
